,count,mean,std,min,25%,50%,75%,max
pareddes,9557.0,0.00858009835722507,0.09223540774048507,0.0,0.0,0.0,0.0,1.0
paredmad,9557.0,0.11562205713089882,0.31978789454238493,0.0,0.0,0.0,0.0,1.0
paredzinc,9557.0,0.013079418227477243,0.11362085133023636,0.0,0.0,0.0,0.0,1.0
paredfibras,9557.0,0.001464894841477451,0.03824790184882171,0.0,0.0,0.0,0.0,1.0
paredother,9557.0,0.001464894841477451,0.03824790184882171,0.0,0.0,0.0,0.0,1.0
pisomoscer,9557.0,0.6927906246730146,0.4613610810363351,0.0,0.0,1.0,1.0,1.0
pisocemento,9557.0,0.2228732865962122,0.41619575867434905,0.0,0.0,0.0,0.0,1.0
pisoother,9557.0,0.0009417181123783614,0.030674577974004417,0.0,0.0,0.0,0.0,1.0
pisonatur,9557.0,0.0010463534581981794,0.03233215095039802,0.0,0.0,0.0,0.0,1.0
pisonotiene,9557.0,0.016427749293711415,0.1271202942451238,0.0,0.0,0.0,0.0,1.0
pisomadera,9557.0,0.0659202678664853,0.24815565624052238,0.0,0.0,0.0,0.0,1.0
techozinc,9557.0,0.9700742910955321,0.1703913106640841,0.0,1.0,1.0,1.0,1.0
techoentrepiso,9557.0,0.01768337344354923,0.13180474014106727,0.0,0.0,0.0,0.0,1.0
techocane,9557.0,0.003139060374594538,0.05594223926913903,0.0,0.0,0.0,0.0,1.0
techootro,9557.0,0.0021973422622161764,0.046826737956658024,0.0,0.0,0.0,0.0,1.0
cielorazo,9557.0,0.6774092288375013,0.4674920678001396,0.0,0.0,1.0,1.0,1.0
abastaguadentro,9557.0,0.9647378884587213,0.184451226510811,0.0,1.0,1.0,1.0,1.0
abastaguafuera,9557.0,0.03170450978340483,0.17522142110586947,0.0,0.0,0.0,0.0,1.0
abastaguano,9557.0,0.00355760175787381,0.0595425578304466,0.0,0.0,0.0,0.0,1.0
public,9557.0,0.88511039028984,0.318905360210939,0.0,1.0,1.0,1.0,1.0
planpri,9557.0,0.0003139060374594538,0.01771553948519576,0.0,0.0,0.0,0.0,1.0
noelec,9557.0,0.0021973422622161764,0.046826737956658024,0.0,0.0,0.0,0.0,1.0
coopele,9557.0,0.11080883122318719,0.31391168339222203,0.0,0.0,0.0,0.0,1.0
sanitario1,9557.0,0.0038715077953332634,0.062104128632275324,0.0,0.0,0.0,0.0,1.0
sanitario2,9557.0,0.21397928220152768,0.41013381922901,0.0,0.0,0.0,0.0,1.0
sanitario3,9557.0,0.7642565658679502,0.42448477164482634,0.0,1.0,1.0,1.0,1.0
sanitario5,9557.0,0.015381395835513236,0.12307068434753318,0.0,0.0,0.0,0.0,1.0
sanitario6,9557.0,0.0025112482996756304,0.050052013591329665,0.0,0.0,0.0,0.0,1.0
energcocinar1,9557.0,0.0018834362247567228,0.0433599540607761,0.0,0.0,0.0,0.0,1.0
energcocinar2,9557.0,0.4895887830909281,0.499917750028323,0.0,0.0,0.0,1.0,1.0
energcocinar3,9557.0,0.45840745003662237,0.49829312691385724,0.0,0.0,0.0,1.0,1.0
energcocinar4,9557.0,0.05012033064769279,0.21820464049584654,0.0,0.0,0.0,0.0,1.0
elimbasu1,9557.0,0.882703777335984,0.3217897662480188,0.0,1.0,1.0,1.0,1.0
elimbasu2,9557.0,0.030030344250287746,0.17067973185615465,0.0,0.0,0.0,0.0,1.0
elimbasu3,9557.0,0.0845453594224129,0.2782185130038915,0.0,0.0,0.0,0.0,1.0
elimbasu4,9557.0,0.001464894841477451,0.03824790184882171,0.0,0.0,0.0,0.0,1.0
elimbasu5,9557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elimbasu6,9557.0,0.0012556241498378152,0.03541438675543448,0.0,0.0,0.0,0.0,1.0
epared1,9557.0,0.10243800355760176,0.30323931247739133,0.0,0.0,0.0,0.0,1.0
epared2,9557.0,0.32740399707021034,0.4692905965372134,0.0,0.0,0.0,1.0,1.0
epared3,9557.0,0.5701579993721879,0.49507928820921715,0.0,0.0,1.0,1.0,1.0
etecho1,9557.0,0.1283875693209166,0.3345383561341053,0.0,0.0,0.0,0.0,1.0
etecho2,9557.0,0.28806110704195875,0.45288339196025373,0.0,0.0,0.0,1.0,1.0
etecho3,9557.0,0.5835513236371246,0.49299554498496917,0.0,0.0,1.0,1.0,1.0
eviv1,9557.0,0.10107774406194413,0.30144741164567657,0.0,0.0,0.0,0.0,1.0
eviv2,9557.0,0.25279899550068013,0.43463942548663737,0.0,0.0,0.0,1.0,1.0
eviv3,9557.0,0.6461232604373758,0.4781965285576333,0.0,0.0,1.0,1.0,1.0
dis,9557.0,0.057549440200899867,0.23290164852817058,0.0,0.0,0.0,0.0,1.0
male,9557.0,0.48341529768755886,0.49975101844806524,0.0,0.0,0.0,1.0,1.0
female,9557.0,0.5165847023124411,0.49975101844806524,0.0,0.0,1.0,1.0,1.0
estadocivil1,9557.0,0.13780475044470022,0.34471297438222925,0.0,0.0,0.0,0.0,1.0
estadocivil2,9557.0,0.12326043737574553,0.3287531152650905,0.0,0.0,0.0,0.0,1.0
estadocivil3,9557.0,0.268389662027833,0.4431446708926811,0.0,0.0,0.0,1.0,1.0
estadocivil4,9557.0,0.03191378047504447,0.1757797604065862,0.0,0.0,0.0,0.0,1.0
estadocivil5,9557.0,0.06278120749189076,0.24258170754873692,0.0,0.0,0.0,0.0,1.0
estadocivil6,9557.0,0.033169404624882284,0.17908811000229305,0.0,0.0,0.0,0.0,1.0
estadocivil7,9557.0,0.34268075755990374,0.47463062227882424,0.0,0.0,0.0,1.0,1.0
parentesco1,9557.0,0.31108088312231874,0.46296003497112725,0.0,0.0,0.0,1.0,1.0
parentesco2,9557.0,0.18405357329705974,0.3875481531498842,0.0,0.0,0.0,0.0,1.0
parentesco3,9557.0,0.38181437689651565,0.4858568290995313,0.0,0.0,0.0,1.0,1.0
parentesco4,9557.0,0.01213770011509888,0.10950630620873782,0.0,0.0,0.0,0.0,1.0
parentesco5,9557.0,0.009521816469603431,0.09711919694781035,0.0,0.0,0.0,0.0,1.0
parentesco6,9557.0,0.05116668410589097,0.22034912067069712,0.0,0.0,0.0,0.0,1.0
parentesco7,9557.0,0.010044993198702522,0.09972528226412043,0.0,0.0,0.0,0.0,1.0
parentesco8,9557.0,0.0024066129538558123,0.04900073882083391,0.0,0.0,0.0,0.0,1.0
parentesco9,9557.0,0.013288688919116878,0.11451406812520619,0.0,0.0,0.0,0.0,1.0
parentesco10,9557.0,0.003139060374594538,0.055942239269139035,0.0,0.0,0.0,0.0,1.0
parentesco11,9557.0,0.01266087684419797,0.11181183828657236,0.0,0.0,0.0,0.0,1.0
parentesco12,9557.0,0.008684733703044888,0.09279121745001931,0.0,0.0,0.0,0.0,1.0
hogar_nin,9557.0,1.4066129538558125,1.366184862306193,0.0,0.0,1.0,2.0,9.0
hogar_adul,9557.0,2.592445328031809,1.1660743726349982,0.0,2.0,2.0,3.0,9.0
hogar_mayor,9557.0,0.2840849639008057,0.5971634255928367,0.0,0.0,0.0,0.0,3.0
hogar_total,9557.0,3.9990582818876215,1.7722156698748954,1.0,3.0,4.0,5.0,13.0
dependency,9557.0,1.1495504854985874,1.6059926805622995,0.0,0.33333334,0.66666669,1.3333334,8.0
edjefe,9557.0,5.096787694883331,5.246512838390674,0.0,0.0,6.0,9.0,21.0
edjefa,9557.0,2.8968295490216596,4.612056219487985,0.0,0.0,0.0,6.0,21.0
meaneduc,9557.0,9.231401808289212,4.166606452545319,0.0,6.0,9.0,11.5,37.0
instlevel1,9557.0,0.13466569007010568,0.3413840015422163,0.0,0.0,0.0,0.0,1.0
instlevel2,9557.0,0.17055561368630323,0.3761398679490224,0.0,0.0,0.0,0.0,1.0
instlevel3,9557.0,0.2077011614523386,0.4056828930623414,0.0,0.0,0.0,0.0,1.0
instlevel4,9557.0,0.1854138327927174,0.3886532499696106,0.0,0.0,0.0,0.0,1.0
instlevel5,9557.0,0.11269226744794392,0.31623280059656056,0.0,0.0,0.0,0.0,1.0
instlevel6,9557.0,0.017892644135188866,0.13256823268716575,0.0,0.0,0.0,0.0,1.0
instlevel7,9557.0,0.015590666527152873,0.12389190334170601,0.0,0.0,0.0,0.0,1.0
instlevel8,9557.0,0.13979282201527676,0.34679009894729806,0.0,0.0,0.0,0.0,1.0
instlevel9,9557.0,0.015381395835513236,0.12307068434753318,0.0,0.0,0.0,0.0,1.0
bedrooms,9557.0,2.7399811656377526,0.9445074414141762,1.0,2.0,3.0,3.0,8.0
overcrowding,9557.0,1.6053800047650937,0.8199456038573936,0.2,1.0,1.5,2.0,6.0
tipovivi1,9557.0,0.6184995291409439,0.485780355417435,0.0,0.0,1.0,1.0,1.0
tipovivi2,9557.0,0.10055456733284504,0.30075373793603366,0.0,0.0,0.0,0.0,1.0
tipovivi3,9557.0,0.18164696034320393,0.38557346635052286,0.0,0.0,0.0,0.0,1.0
tipovivi4,9557.0,0.017055561368630325,0.12948522524040382,0.0,0.0,0.0,0.0,1.0
tipovivi5,9557.0,0.08224338181437689,0.2747495343081456,0.0,0.0,0.0,0.0,1.0
computer,9557.0,0.1021240975201423,0.3028272803818094,0.0,0.0,0.0,0.0,1.0
television,9557.0,0.2846081406299048,0.4512512089369319,0.0,0.0,0.0,1.0,1.0
mobilephone,9557.0,0.975306058386523,0.15519881178100434,0.0,1.0,1.0,1.0,1.0
qmobilephone,9557.0,2.8214921000313904,1.4832490640354612,0.0,2.0,3.0,4.0,10.0
lugar1,9557.0,0.5876321021240976,0.492286474150942,0.0,0.0,1.0,1.0,1.0
lugar2,9557.0,0.0927069163963587,0.2900364564909893,0.0,0.0,0.0,0.0,1.0
lugar3,9557.0,0.06236266610861149,0.2418257286276508,0.0,0.0,0.0,0.0,1.0
lugar4,9557.0,0.08276655854347599,0.2755434624251417,0.0,0.0,0.0,0.0,1.0
lugar5,9557.0,0.09385790520037669,0.29164618779024143,0.0,0.0,0.0,0.0,1.0
lugar6,9557.0,0.08067385162707963,0.2723478335586109,0.0,0.0,0.0,0.0,1.0
area1,9557.0,0.7145547766035367,0.4516498556944903,0.0,0.0,1.0,1.0,1.0
area2,9557.0,0.28544522339646333,0.4516498556944903,0.0,0.0,0.0,1.0,1.0
age,9557.0,34.303547138223294,21.612261089497032,0.0,17.0,31.0,51.0,97.0
SQBescolari,9557.0,74.22276865125039,76.77754905628163,0.0,16.0,36.0,121.0,441.0
SQBage,9557.0,1643.7743015590665,1741.1970499097831,0.0,289.0,961.0,2601.0,9409.0
SQBhogar_total,9557.0,19.13288688919117,18.751395186408658,1.0,9.0,16.0,25.0,169.0
SQBedjefe,9557.0,53.50026158836455,78.44580400442455,0.0,0.0,36.0,81.0,441.0
SQBhogar_nin,9557.0,3.84482578214921,6.946296391117886,0.0,0.0,1.0,4.0,81.0
SQBovercrowding,9557.0,3.249485410069373,4.12954703581989,0.040000003,1.0,2.25,4.0,36.0
SQBdependency,9557.0,3.900408932275506,12.51183091925734,0.0,0.11111112,0.44444448,1.7777778999999998,64.0
SQBmeaned,9557.0,102.57757219737992,93.49372490252715,0.0,36.0,81.0,132.25,1369.0
agesq,9557.0,1643.7743015590665,1741.1970499097831,0.0,289.0,961.0,2601.0,9409.0
target,9557.0,0.24610233336821177,0.4307614078946608,0.0,0.0,0.0,0.0,1.0
